,Feature,Coefficient,Coefficient Absolute
1,log_GrLivArea,0.1374120335992898,0.1374120335992898
30,Basement_recoded_Ex,0.08243547428314202,0.08243547428314202
32,Basement_recoded_Gd,0.07493026503668891,0.07493026503668891
22,Neighborhood_NridgHt,0.0659828050233512,0.0659828050233512
5,GarageCars,0.06280296647073196,0.06280296647073196
3,total_full_baths,0.053070786703221726,0.053070786703221726
26,Neighborhood_Somerst,0.05197567551353323,0.05197567551353323
0,log_LotArea,0.04840471733743159,0.04840471733743159
35,GarageType_recoded_Attchd,0.04603741869172561,0.04603741869172561
33,Basement_recoded_TA,0.04596928328279636,0.04596928328279636
21,Neighborhood_NoRidge,0.04552990615231645,0.04552990615231645
11,Neighborhood_CollgCr,0.04296406337240503,0.04296406337240503
27,Neighborhood_StoneBr,0.04177040008672428,0.04177040008672428
12,Neighborhood_Crawfor,0.0394545393047224,0.0394545393047224
28,Neighborhood_Timber,0.02260341206090079,0.02260341206090079
18,Neighborhood_NAmes,0.021025621504457703,0.021025621504457703
2,total_half_baths,0.020464848417759345,0.020464848417759345
6,Neighborhood_Blmngtn,0.019859468163511234,0.019859468163511234
38,GarageType_recoded_CarPort,-0.019718246046825552,0.019718246046825552
29,Neighborhood_Veenker,0.019437904384370715,0.019437904384370715
37,GarageType_recoded_BuiltIn,0.01871557651468246,0.01871557651468246
4,BedroomAbvGr,-0.018545893239653694,0.018545893239653694
15,Neighborhood_IDOTRR,-0.01737557171780223,0.01737557171780223
25,Neighborhood_SawyerW,0.014564348864827884,0.014564348864827884
34,GarageType_recoded_2Types,-0.013443983494168688,0.013443983494168688
10,Neighborhood_ClearCr,0.013068283245921962,0.013068283245921962
14,Neighborhood_Gilbert,0.011964848351982464,0.011964848351982464
9,Neighborhood_BrkSide,0.011285481971697722,0.011285481971697722
36,GarageType_recoded_Basment,0.010838032467239462,0.010838032467239462
13,Neighborhood_Edwards,-0.009342420657146902,0.009342420657146902
20,Neighborhood_NWAmes,0.008852264363482593,0.008852264363482593
24,Neighborhood_Sawyer,0.007923934741820985,0.007923934741820985
16,Neighborhood_MeadowV,-0.007576021387457433,0.007576021387457433
39,GarageType_recoded_Detchd,0.006233760375044649,0.006233760375044649
31,Basement_recoded_Fa,-0.004201776183107383,0.004201776183107383
17,Neighborhood_Mitchel,0.0040627601766772894,0.0040627601766772894
23,Neighborhood_SWISU,0.002549474387310158,0.002549474387310158
19,Neighborhood_NPkVill,0.0024916363262356485,0.0024916363262356485
8,Neighborhood_BrDale,0.0013664153116619338,0.0013664153116619338
7,Neighborhood_Blueste,-0.0013062871586191065,0.0013062871586191065
